Ator	der Schauspieler
temporada	die Staffel
demónio	der Teufel
presente	die Gegenwart
ferro de engomar	das Bügeleisen
revista	die Zeitschrift
casaco	die Jacke
conexão	die Vernetzung
mudança	die Wende
instrução escolar	die Bildung
condição	die Bedienung
transporte (público)	das (offentliche) Verkehrsmittel
promoção (trabalho)	die Beförderung
acidente	der Umfall
aparentemente	scheinbar
de repente	plötzlich
loja	das Geschäfte
comida para animais	das Futter
queda	der Sturz
carteiro	der Briefträger
garfo	die Gabel
colher	der Löffel
faca	das Messer
relação	die Beziehung
der Schauspieler	Ator
Die Zeit	tempo
die Hand	mão
der tag	dia
der Weg	caminho
das Auge	olho
der Kopf	cabeça
das Jahr	ano
das Zimmer	quarto
das Gesicht	cara
das Volk	povo
die Nacht	noite
das Leben	vida
der Rücken	costas
die Stimme	voz
der Ort	lugar
der Arm	braço
der Moment	momento
das Haar	cabelo
der Fuß	pé
das Licht	luz
die Welt	mundo
das Fenster	janela
der Körper	corpo
der Tisch	mesa
das Bett	cama
die Mauer	muro
die Luft	ar
der Boden	chão
die Stunde	hora
die Familie	família
die Art	tipo
die Minute	minuto
die Geschichte	história
die Woche	semana
die Schulter	ombro
der Teil	parte
der Geist	mente
der Mund	boca
der Baum	árvore
der Klang	som
das Bein	perna
der Stuhl	cadeira
der Monat	mês
die Küche	cozinha
der Beruf	trabalho
das Lächeln	sorriso
der Gedanke	pensamento
der Tod	morto
das Feuer	fogo
der Schritt	passo
das Blut	sangue
die Tatsache	facto
die Lippe	lábio
die Ecke	canto
das Ehepaar	casal
der Beutel	mala
die Hölle	inferno
der Himmel	céu
die Kiste	caixa
die Person	pessoa
der Grund	razão
die Haut	pele
das Bild	imagem
das Ohr	orelha
der Hals	pescoço
der Wind	vento
die Waffe	arma
der Stein	pedra
die Erde	terra
der Krieg	guerra
das Feld	campo
der Brief	carta
der Traum	sonho
die Brust	peito
die Stille	silêncio
die Macht	poder
das Schild	sinal
die Aufmerksamkeit	atenção
der Schmerz	dor
der Fluss	rio
die Nase	nariz
der Schatten	sombra
das Gedächtnis	memória
das Knie	joelho
der Zahn	dente
die Schwierigkeit	dificuldade
die Träne	lágrima
die Erleichterung	alívio
das Geheimnis	segredo
der Anschein	aparência
die Fügung	coincidência
die Reue	arrependimento
die Impfung	vacina
der Pfleger	cuidador
die Einschränkung	restrição
die Stimmung	mood
der Kassierer	caixa de supermercado
der Angestellten	trabalhador (de alguma superfície)
das Geschirr	louça
der Engpass	falta de algo (shortage)
die Ausnahme	exceção
die Hoffnung	esperança
das Fieber	febre
der Husten	tosse
die Schildkröte	tartaruga
die Armbeuge	cova do braço
der Dieb	ladrão
die Steckdose	tomada
der Schiedsrichter	árbitro
der Wecker	despertador
die Staffel	temporada
der Teufel	demónio
die Gegenwart	presente
das Bügeleisen	ferro de engomar
die Zeitschrift	revista
die Jacke	casaco
die Vernetzung	conexão
die Wende	mudança
die Bildung	instrução escolar
die Bedienung	condição
das (offentliche) Verkehrsmittel	transporte (público)
die Beförderung	promoção (trabalho)
der Umfall	acidente
scheinbar	aparentemente
plötzlich	de repente
das Geschäfte	loja
das Futter	comida para animais
der Sturz	queda
der Briefträger	carteiro
die Gabel	garfo
der Löffel	colher
das Messer	faca
die Beziehung	relação
perda	der Verlust
der Verlust	perda
imediatamente	sofort
sofort	imediatamente
die Pflicht	obrigação
obrigação	die Pflicht
der Gelände	sítio
sítio	der Gelände
die Schicht	turno
turno	die Schicht
die Mahnung	aviso
aviso	die Mahnung
die Schwiegereltern	sogros
sogros	die Schwiegereltern
der Lohn	ordenado
ordenado	der Lohn
die Gelegenheit	oportunidade
oportunidade	die Gelegenheit
die Vermutung	suposição
suposição	die Vermutung
der Obdachlose	sem-abrigo
sem-abrigo	der Obdachlose
die Weise	maneira
maneira	die Weise
die Laune	mood
mood	die Laune
vermutlich	supostamente
supostamente	vermutlich
die Spritze	seringa
seringa	die Spritze
der Puschen	pantufas
pantufas	der Puschen
die Tasche	bolso
bolso	die Tasche
der Spiegel	espelho
espelho	der Spiegel
die Notaufnahme	urgências
urgências	die Notaufnahme
die Versicherung	seguro
seguro	die Versicherung
außerdem	além disso
além disso	außerdem
die Schuld	culpa
culpa	die Schuld
der Haushalt	tarefas domésticas
tarefas domésticas	der Haushalt
der Antrag	requerimento
requerimento	der Antrag
die Entlassung	despedimento
despedimento	die Entlassung
die Schulden	dívidas
dívidas	die Schulden
die Erfolgslosigkeit	insucesso
insucesso	die Erfolgslosigkeit
die Bandgruppe	grupo marginalizado
grupo marginalizado	die Bandgruppe
die Ursache	causa
causa	die Ursache
die Vermittlung	mediação
mediação	die Vermittlung
die Eigenschaft	característica
característica	die Eigenschaft
das Schicksal	destino
destino	das Schicksal
der Verursacher	culpado
culpado	der Verursacher
die Strömung	corrente
corrente	die Strömung
der Ufer	margem
margem	der Ufer
der Eintrinken	afogamento
afogamento	der Eintrinken
die Herausforderung	desafio
desafio	die Herausforderung
die Tat	ação
ação	die Tat
der Held	herói
herói	der Held
das Vorbild	ideal
ideal	das Vorbild
die Entstehungszeit	altura da criação
altura da criação	die Entstehungszeit
die Ader	veia
veia	die Ader
der Krebs	cancro
cancro	der Krebs
die Forschung	investigação
investigação	die Forschung
die Börse	bolsa (economia)
bolsa (economia)	die Börse
das Tal	vale
vale	das Tal
das Brunnen	fonte
fonte	das Brunnen
der Bauch	barriga
barriga	der Bauch
